"","player_id","name","season","team_id","nation","pos","matches","starts","minutes","goals","assists","yellow_cards","red_cards"
"227",415,"Rachel Corsie",2018,"UTA","SCO","DF",24,23,2088,0,1,3,0
"228",32,"Ana-Maria Crnogorcevic",2018,"POR","SUI","FW",20,17,1407,5,3,0,0
"229",356,"Megan Crosson",2018,"WAS",NA,"DF",1,1,90,0,0,0,0
"230",166,"Frannie Crouse",2018,"NC","USA","FW",1,0,27,1,0,0,0
"231",1,"Abby Dahlkemper",2018,"NC","USA","MF",19,19,1710,0,0,1,0
"232",270,"Kiersten Dallstream",2018,"SEA","USA","DF,FW",3,2,163,0,0,1,0
"233",416,"Rachel Daly",2018,"HOU","ENG","FW",24,24,2155,10,2,4,0
"234",125,"NA Debinha",2018,"NC","BRA","FW",21,20,1731,8,2,0,0
"235",496,"Vanessa DiBernardo",2018,"CHI","USA","MF",11,7,679,2,2,0,0
"236",187,"Imani Dorsey",2018,"NJ","USA","FW",13,12,1048,4,1,0,0
"237",359,"Meggie Dougherty Howard",2018,"WAS","USA","MF",23,14,1448,0,0,3,0
"238",399,"Nickolette Driesse",2018,"NJ","USA","MF",1,0,7,0,0,0,0
"239",114,"Crystal Dunn",2018,"NC","USA","DF,MF",22,21,1801,8,5,0,0
"240",72,"Caprice Dydasco",2018,"WAS","USA","DF",24,21,1948,0,0,2,0
"241",142,"Elizabeth Eddy",2018,"NC","USA","MF",2,1,94,0,0,0,0
"242",276,"Kristen Edmonds",2018,"ORL","USA","DF",15,13,1091,1,0,1,0
"243",153,"Emily van Egmond",2018,"ORL","AUS","MF",17,12,1098,0,1,2,0
"244",59,"Brooke Elby",2018,"UTA","USA","MF",7,6,577,0,0,1,0
"245",59,"Brooke Elby",2018,"CHI","USA","MF",4,3,269,0,1,0,0
"246",2,"Abby Elinsky",2018,"ORL","USA","MF",2,0,32,0,0,0,0
"247",3,"Abby Erceg",2018,"NC","NZL","DF,FW",24,24,2160,2,2,1,0
"248",228,"Julie Ertz",2018,"CHI","USA","DF,MF",14,13,1126,0,0,1,0
"249",330,"Mallory Eubanks",2018,"WAS","USA","FW",12,5,516,0,0,0,0
"250",119,"Danica Evans",2018,"ORL","USA","FW",5,0,48,0,0,0,0
"251",104,"Claire Falknor",2018,"HOU","USA","DF",2,0,27,0,0,0,0
"252",65,"Cali Farquharson",2018,"WAS","USA","FW",5,1,152,0,0,0,0
"253",211,NA,2018,"SEA","WAL","MF",18,18,1543,2,1,2,0
"254",63,"Caitlin Foord",2018,"POR","AUS","DF,FW",6,2,276,0,0,1,0
"255",333,"Mandy Freeman",2018,"NJ","USA","DF",21,21,1826,0,0,2,0
"256",24,"Amanda Frisbie",2018,"NJ","USA","DF",17,15,1285,0,0,0,0
"257",100,"Christina Gibbons",2018,"NJ","USA","DF",18,16,1431,0,0,2,0
"258",445,"Sarah Gorden",2018,"CHI","USA","DF",17,12,1246,0,0,0,0
"259",245,"Katrina Gorry",2018,"UTA","AUS","MF",16,13,1068,0,1,1,0
"260",470,"Summer Green",2018,"CHI","USA","FW",8,4,318,0,0,0,0
"261",456,"Shea Groom",2018,"NJ","USA","FW",21,17,1535,2,3,0,0
"262",277,"Kristen Hamilton",2018,"NC","USA","FW",23,8,783,3,4,4,0
"263",174,"Haley Hanson",2018,"HOU","USA","MF",19,15,1463,1,0,1,0
"264",43,"Ashley Hatch",2018,"WAS","USA","FW",22,22,1927,4,1,2,0
"265",491,"Tobin Heath",2018,"POR","USA","MF",17,14,1269,7,7,0,0
"266",417,"Rachel Hill",2018,"ORL","USA","FW",21,7,814,4,0,1,0
"267",192,"Jaelene Hinkle",2018,"NC","USA","DF",20,20,1779,0,4,1,0
"268",308,"Lindsey Horan",2018,"POR","USA","FW",22,22,1980,13,2,5,0
"269",204,"Jen Hoy",2018,"NJ","USA","FW,MF",10,2,217,0,0,1,0
"270",258,"Kelli Hubly",2018,"POR","USA","DF",11,9,818,0,0,1,0
"271",460,"Sofia Huerta",2018,"HOU","MEX","FW",12,12,1068,5,4,1,0
"272",460,"Sofia Huerta",2018,"CHI","MEX","FW",11,11,964,3,2,0,0
"273",493,"Tori Huster",2018,"WAS","USA","MF",17,15,1283,0,0,0,0
"274",124,"Darian Jenkins",2018,"NC","USA","FW",12,0,176,0,0,0,0
"275",162,"Estelle Johnson",2018,"WAS","CMR","DF",21,21,1890,0,0,2,0
"276",200,"Jaycie Johnson",2018,"SEA","USA","FW",3,0,3,0,0,0,0
"277",240,NA,2018,"NJ","MEX","FW",19,13,1166,4,2,1,0
"278",443,"Samantha Johnson",2018,"CHI","USA","DF,MF",10,10,900,0,0,3,0
"279",443,"Samantha Johnson",2018,"UTA","USA","DF,MF",6,5,433,0,0,2,0
"280",293,"Lauren Kaskie",2018,"CHI","USA","MF",7,3,214,1,0,0,0
"281",505,"Yuri Kawamura",2018,"NC","JPN","MF",2,1,98,0,0,0,0
"282",390,"Nahomi Kawasumi",2018,"SEA","JPN","FW,MF",14,11,875,0,3,0,0
"283",274,"Kimberly Keever",2018,"HOU","USA","FW",11,9,727,1,0,1,0
"284",9,"Alanna Kennedy",2018,"ORL","AUS","MF",20,20,1800,2,1,2,0
"285",439,"Sam Kerr",2018,"CHI","AUS","FW,MF",19,19,1704,16,4,2,0
"286",483,"Thembi Kgatlana",2018,"HOU","RSA","FW",16,2,375,2,3,1,0
"287",449,"Sarah Killion",2018,"NJ","USA","MF",24,24,2132,2,2,3,0
"288",21,"Alyssa Kleiner",2018,"SEA","USA","DF",10,4,414,0,0,1,0
"289",361,"Meghan Klingenberg",2018,"POR","USA","DF,MF",20,20,1751,0,2,1,0
"290",15,"Ali Krieger",2018,"ORL","USA","DF,MF",19,19,1675,0,2,1,0
"291",231,"Kaleigh Kurtz",2018,"NC","USA","DF",6,6,540,0,0,0,0
"292",314,"Lo’eau LaBonta",2018,"UTA","USA","MF",16,8,823,0,0,0,0
"293",498,"Veronica Latsko",2018,"HOU","USA","MF",21,9,972,4,2,0,0
"294",434,"Rose Lavelle",2018,"WAS","USA","MF",11,5,423,0,0,0,0
"295",7,"Adriana Leon",2018,"NJ","CAN","FW,MF",2,0,33,0,0,0,0
"296",7,"Adriana Leon",2018,"SEA","CAN","FW,MF",6,1,152,0,0,0,0
"297",472,"Sydney Leroux",2018,"ORL","USA","FW",20,15,1431,6,2,2,0
"298",76,"Carli Lloyd",2018,"NJ","USA","MF",18,17,1563,4,1,4,1
"299",216,"Joanna Lohman",2018,"WAS","USA","DF,MF",13,4,429,1,0,1,0
"300",18,"Allie Long",2018,"SEA","USA","MF",19,19,1710,3,1,2,0
"301",495,"Tyler Lussi",2018,"POR","USA","FW",15,3,370,1,1,1,0
"302",476,"Taylor Lytle",2018,"UTA","USA","MF",10,4,450,0,2,0,0
"303",346,"NA Marta",2018,"ORL","BRA","FW",17,15,1310,4,4,2,1
"304",128,"Diana Matheson",2018,"UTA","CAN","MF",21,18,1396,2,0,2,0
"305",369,"Merritt Mathias",2018,"NC","USA","DF,MF",22,22,1961,3,2,4,0
